state	votetrump	age	female	collegeed	famincr	ideo	pid7na	bornagain	religimp	churchatd	prayerfreq	angryracism	whiteadv	fearraces	racerare
Indiana	NA	22	0	1	12	5	Indep.	0	4	6	5	NA/ND	Disagree	Strongly Disagree	Disagree
Ohio	NA	39	0	1	9	3	Ind. Lean D	0	1	1	1	NA	NA	NA	NA
Minnesota	0	38	1	1	10	4	Not Strong R	0	3	1	1	Strongly Agree	NA/ND	Strongly Disagree	Disagree
Pennsylvania	NA	41	1	1	11	NA	NA	0	3	1	6	Agree	Strongly Disagree	Disagree	Disagree
Illinois	NA	86	1	0	2	5	Not Strong R	1	4	3	7	Strongly Agree	Agree	NA/ND	Disagree
Ohio	0	38	1	0	9	2	Strong D	1	4	6	7	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree
Illinois	NA	30	0	1	9	1	Strong D	0	4	5	7	NA	NA	NA	NA
Illinois	0	45	0	1	11	3	Indep.	0	3	3	3	Strongly Agree	Strongly Agree	Disagree	Disagree
Wisconsin	0	39	1	0	3	1	Strong D	0	2	1	1	Strongly Agree	Agree	NA/ND	Strongly Disagree
Indiana	NA	34	1	0	7	4	Ind. Lean R	1	4	6	7	Strongly Agree	NA/ND	NA/ND	NA/ND
Illinois	NA	33	1	0	9	2	Ind. Lean R	0	2	3	2	NA	NA	NA	NA
Pennsylvania	NA	25	0	0	4	4	Not Strong R	1	2	2	2	NA	NA	NA	NA
Illinois	0	37	0	0	1	1	Ind. Lean D	0	1	2	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Michigan	0	24	1	0	9	1	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	Disagree	Disagree
Ohio	NA	53	1	0	1	3	Not Strong R	0	3	1	3	Agree	Disagree	Disagree	NA/ND
Minnesota	0	32	0	1	9	2	Ind. Lean D	0	1	3	1	Strongly Agree	NA/ND	Strongly Disagree	Agree
Indiana	1	50	1	0	6	2	Strong R	0	3	4	3	Strongly Agree	Strongly Disagree	NA/ND	Strongly Disagree
Pennsylvania	0	41	0	1	9	2	Indep.	0	2	2	1	Agree	Strongly Agree	Strongly Disagree	Disagree
Ohio	1	39	0	1	11	5	Strong R	1	4	5	5	Agree	NA/ND	Strongly Disagree	Strongly Agree
Michigan	1	91	1	0	3	5	Strong R	0	3	3	5	Disagree	Agree	Agree	Strongly Disagree
Ohio	0	62	0	0	9	2	Strong D	0	3	4	2	Strongly Agree	Strongly Agree	Disagree	Disagree
Wisconsin	1	64	1	0	6	4	Not Strong R	0	3	5	5	NA/ND	Disagree	Disagree	Disagree
Pennsylvania	NA	37	0	1	11	4	Ind. Lean D	0	1	3	2	NA	NA	NA	NA
Ohio	0	25	1	1	1	2	Not Strong D	0	1	4	1	Agree	Agree	Agree	Agree
Wisconsin	0	62	0	0	5	3	Indep.	1	4	3	6	Agree	Agree	Disagree	Disagree
Indiana	1	47	1	0	9	4	Strong R	1	4	5	7	Agree	NA/ND	Strongly Disagree	Strongly Disagree
Ohio	0	43	0	0	4	4	Strong D	1	3	4	6	Agree	Agree	Strongly Disagree	Disagree
Pennsylvania	1	19	0	0	9	4	Ind. Lean R	0	3	1	6	Agree	Strongly Disagree	Agree	Disagree
Pennsylvania	0	32	0	1	6	4	Not Strong R	1	4	5	6	Agree	Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	1	34	1	1	NA	3	Not Strong D	0	3	2	2	Strongly Agree	Agree	Disagree	Disagree
Pennsylvania	NA	23	1	0	1	2	Not Strong R	1	4	3	7	Strongly Agree	Agree	Disagree	NA/ND
Pennsylvania	0	55	1	0	3	1	Indep.	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Michigan	1	44	0	1	11	3	Ind. Lean R	0	4	3	6	Disagree	Disagree	NA/ND	NA/ND
Wisconsin	1	73	0	0	9	4	Strong R	0	2	3	2	NA/ND	NA/ND	NA/ND	NA/ND
Illinois	0	32	0	1	10	2	Strong D	0	4	5	6	Strongly Agree	NA/ND	NA/ND	Disagree
Illinois	NA	40	0	1	9	3	Not Strong D	0	1	2	1	NA	NA	NA	NA
Wisconsin	1	27	1	0	5	5	Ind. Lean R	1	4	5	7	Agree	Strongly Disagree	Strongly Disagree	Agree
Minnesota	0	19	1	0	8	1	Strong D	1	3	3	6	Strongly Agree	Agree	Disagree	Strongly Disagree
Ohio	0	40	1	0	10	2	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Wisconsin	NA	26	0	1	5	3	Ind. Lean D	0	4	2	6	NA	NA	NA	NA
Iowa	0	34	1	1	6	2	Not Strong D	0	2	3	5	NA	Disagree	Strongly Disagree	NA/ND
Illinois	0	32	1	1	9	2	Ind. Lean D	0	4	4	6	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Michigan	0	26	1	1	4	2	Ind. Lean D	0	1	1	1	Agree	Strongly Agree	Disagree	Strongly Disagree
Ohio	NA	20	1	0	2	2	Not Strong D	0	2	1	3	NA	NA	NA	NA
Pennsylvania	1	28	1	1	8	4	Ind. Lean R	0	2	2	2	NA/ND	Disagree	Disagree	Disagree
Ohio	0	31	1	1	4	2	Indep.	0	3	2	5	Disagree	NA/ND	Strongly Agree	Disagree
Michigan	0	41	1	1	10	3	Ind. Lean D	0	3	3	5	Strongly Agree	Agree	Disagree	Disagree
Minnesota	0	34	1	1	11	2	Strong D	0	2	2	2	Strongly Agree	Strongly Agree	Disagree	Agree
Illinois	NA	28	0	1	11	5	Strong D	1	4	4	6	NA	NA	NA	NA
Pennsylvania	0	65	1	0	3	3	Strong D	0	3	4	6	Strongly Agree	Strongly Agree	Strongly Agree	Agree
Pennsylvania	0	35	0	0	2	2	Not Strong D	0	3	2	6	Strongly Agree	Agree	NA/ND	Disagree
Pennsylvania	0	36	0	1	9	3	Not Strong D	0	4	5	6	Strongly Agree	Agree	Strongly Disagree	Disagree
Minnesota	NA	37	0	0	10	2	Not Strong D	0	1	1	1	NA	NA	NA	NA
Michigan	1	44	1	0	2	4	Strong R	1	4	5	7	Agree	NA/ND	Agree	Agree
Minnesota	NA	31	0	1	1	2	Strong D	0	1	3	1	NA	NA	NA	NA
Pennsylvania	0	35	1	1	10	3	Not Strong D	0	1	2	2	NA/ND	Disagree	Strongly Disagree	Agree
Ohio	NA	70	1	1	4	4	Ind. Lean R	0	2	1	2	Strongly Agree	Agree	Strongly Disagree	Agree
Pennsylvania	0	27	1	1	4	1	Strong D	0	2	2	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Agree
Illinois	1	28	0	1	9	3	Not Strong D	1	3	5	4	Disagree	NA/ND	Strongly Disagree	Agree
Iowa	1	23	1	0	3	5	Strong R	1	4	5	5	Strongly Agree	Strongly Disagree	Strongly Disagree	Agree
Pennsylvania	1	43	0	0	3	NA	NA	1	4	5	5	NA/ND	Agree	Agree	Disagree
Wisconsin	NA	25	1	0	5	NA	Indep.	0	1	1	1	NA	NA	NA	NA
Michigan	1	43	0	1	8	4	Not Strong R	1	4	6	7	Strongly Agree	Strongly Disagree	Strongly Disagree	NA/ND
Ohio	1	56	0	1	11	4	Strong R	0	3	5	1	Strongly Agree	Disagree	Strongly Disagree	Disagree
Pennsylvania	0	41	1	1	5	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	1	57	1	0	7	4	Not Strong R	0	2	2	3	Strongly Agree	Agree	Disagree	Strongly Disagree
Illinois	0	32	1	1	5	3	Ind. Lean R	0	1	1	1	Strongly Agree	Agree	Strongly Disagree	Strongly Disagree
Iowa	0	32	1	1	6	3	Indep.	0	1	1	1	Agree	Agree	Disagree	Disagree
Illinois	1	38	1	0	5	3	Not Strong D	0	3	4	7	Strongly Agree	Agree	Strongly Disagree	Disagree
Illinois	1	57	0	0	7	3	Strong D	0	4	2	5	Agree	Strongly Disagree	Strongly Disagree	Disagree
Illinois	0	49	0	0	7	NA	Indep.	0	4	2	5	Agree	NA/ND	Strongly Disagree	NA/ND
Pennsylvania	1	59	1	1	NA	3	Ind. Lean D	0	4	5	7	Strongly Agree	Strongly Disagree	Disagree	Disagree
Indiana	0	31	1	0	7	NA	Indep.	1	4	1	7	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Minnesota	0	29	0	1	8	3	Ind. Lean R	1	4	6	7	Strongly Agree	Strongly Agree	Disagree	Disagree
Wisconsin	NA	47	0	1	8	NA	Indep.	0	1	1	1	Agree	Strongly Agree	Disagree	Strongly Disagree
Ohio	0	39	1	1	11	3	Ind. Lean D	0	3	3	5	Strongly Agree	Agree	Strongly Disagree	Disagree
Pennsylvania	NA	41	1	0	4	3	Indep.	0	1	1	1	Strongly Agree	Disagree	Disagree	Disagree
Wisconsin	0	44	0	0	5	NA	Indep.	0	3	3	3	NA/ND	NA/ND	NA/ND	NA/ND
Iowa	1	34	1	1	5	5	Strong R	1	4	5	7	Strongly Agree	Agree	Agree	Disagree
Illinois	0	70	1	0	5	2	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Illinois	0	27	1	0	6	2	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Minnesota	NA	46	0	0	8	2	Strong D	0	2	2	6	NA	NA	NA	NA
Indiana	0	23	1	1	2	2	Not Strong D	0	1	2	2	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Illinois	NA	45	0	0	9	4	Not Strong R	0	3	2	5	NA	NA	NA	NA
Iowa	NA	56	1	0	6	NA	Indep.	0	4	6	7	NA	NA	NA	NA
Iowa	1	44	1	0	4	2	Indep.	1	3	3	5	Agree	Agree	Agree	Strongly Disagree
Michigan	1	32	1	1	9	5	Not Strong R	1	4	6	7	Agree	NA/ND	Strongly Disagree	NA/ND
Pennsylvania	0	75	1	0	4	3	Ind. Lean D	0	3	2	5	Strongly Agree	Agree	Strongly Disagree	Disagree
Wisconsin	0	42	1	0	7	3	Indep.	0	3	2	5	Strongly Agree	NA	Strongly Disagree	Disagree
Wisconsin	NA	44	1	0	5	3	Indep.	0	3	4	6	Agree	Disagree	Agree	Disagree
Michigan	NA	33	0	1	11	3	Ind. Lean D	0	1	1	2	NA	NA	NA	NA
Minnesota	0	32	0	1	1	1	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Illinois	NA	18	0	0	5	NA	Ind. Lean D	0	1	3	1	NA	NA	NA	NA
Pennsylvania	0	27	1	1	9	3	Indep.	0	3	3	5	Strongly Agree	NA/ND	Strongly Disagree	Disagree
Ohio	NA	63	1	0	6	3	Indep.	0	1	1	1	Agree	Strongly Disagree	Strongly Disagree	Agree
Indiana	0	63	0	0	7	4	Strong D	0	2	1	2	Agree	NA/ND	NA/ND	Disagree
Illinois	0	58	0	0	6	3	Ind. Lean D	0	2	3	2	Strongly Agree	Agree	NA/ND	Disagree
Pennsylvania	0	19	1	0	6	1	Ind. Lean D	0	2	3	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Ohio	NA	51	0	0	3	3	Ind. Lean D	0	2	1	5	NA	NA	NA	NA
Minnesota	NA	56	0	0	2	NA	NA	1	2	2	NA	NA/ND	NA/ND	Agree	Disagree
Indiana	1	67	1	0	8	5	Strong R	1	3	5	5	Strongly Agree	NA/ND	Disagree	Strongly Disagree
Michigan	NA	27	1	0	6	1	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	Agree	Disagree
Illinois	NA	50	0	1	7	2	Ind. Lean D	0	2	1	2	NA	NA	NA	NA
Indiana	1	35	1	0	7	4	Not Strong R	0	2	1	1	Agree	Strongly Disagree	Strongly Disagree	NA/ND
Illinois	0	32	1	1	9	2	Strong D	0	1	1	1	Agree	NA/ND	Agree	Disagree
Iowa	0	34	0	1	12	2	Not Strong D	0	3	3	6	Agree	Agree	Disagree	Strongly Disagree
Indiana	NA	22	1	0	4	NA	Indep.	0	4	1	5	NA	NA	NA	NA
Illinois	0	32	1	1	12	2	Not Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Minnesota	0	65	0	0	NA	3	Indep.	0	2	3	NA	Agree	Agree	NA/ND	Disagree
Illinois	NA	26	1	0	3	NA	Not Strong D	0	1	1	1	NA	NA	NA	NA
Wisconsin	0	33	0	0	8	2	Strong D	0	2	2	2	Strongly Agree	Strongly Agree	Disagree	Strongly Disagree
Wisconsin	0	61	1	0	8	3	Ind. Lean D	0	1	2	3	Strongly Agree	Strongly Agree	Disagree	Disagree
Ohio	1	25	1	1	4	3	Not Strong R	0	1	3	NA	NA/ND	Agree	Agree	Disagree
Illinois	1	62	1	0	9	4	Strong R	0	3	4	6	Disagree	Disagree	NA/ND	Agree
Illinois	0	49	1	0	NA	2	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Wisconsin	NA	18	0	0	8	5	Not Strong R	0	4	5	7	NA	NA	NA	NA
Illinois	0	33	0	0	7	1	Indep.	0	3	2	1	NA/ND	Strongly Agree	Strongly Disagree	Strongly Disagree
Ohio	0	56	0	0	6	2	Strong D	1	4	2	7	Strongly Agree	NA/ND	Disagree	Disagree
Minnesota	NA	36	0	1	8	3	Ind. Lean D	0	1	1	1	NA	NA	NA	NA
Indiana	NA	51	0	0	6	2	Strong D	0	3	3	6	Strongly Agree	Agree	Disagree	Strongly Disagree
Wisconsin	0	63	0	0	5	4	Ind. Lean D	0	3	3	5	Strongly Agree	Disagree	Agree	Disagree
Michigan	0	60	0	1	1	1	Strong D	0	4	5	4	Strongly Agree	Strongly Agree	NA/ND	NA/ND
Ohio	NA	18	1	0	4	3	Strong R	0	3	1	2	NA	NA	NA	NA
Wisconsin	1	24	1	1	9	4	Strong R	0	4	5	7	Strongly Agree	NA/ND	NA/ND	Agree
Michigan	1	28	0	0	1	1	Ind. Lean R	1	4	6	1	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree
Indiana	0	42	1	1	4	1	Strong D	0	1	1	1	Strongly Agree	Disagree	Strongly Disagree	Disagree
Pennsylvania	0	44	1	1	11	3	Indep.	0	3	5	7	NA/ND	NA/ND	Disagree	Strongly Disagree
Ohio	0	58	1	1	6	3	Ind. Lean R	1	3	2	6	Agree	Disagree	NA/ND	Agree
Michigan	NA	25	0	0	4	NA	Indep.	0	1	1	1	NA/ND	Disagree	Agree	NA/ND
Michigan	NA	53	0	0	4	3	Strong D	0	3	3	6	NA	NA	NA	NA
Michigan	NA	43	1	0	2	NA	Not Strong D	0	1	1	1	NA/ND	NA/ND	Strongly Disagree	Strongly Disagree
Ohio	1	74	1	0	4	4	Strong R	0	4	2	7	Strongly Agree	NA/ND	Agree	Agree
Iowa	NA	35	1	1	7	1	Not Strong D	0	3	1	7	Strongly Agree	NA/ND	Strongly Disagree	Strongly Disagree
Ohio	1	61	1	0	2	2	Strong D	0	3	2	6	Strongly Agree	Strongly Agree	Agree	Strongly Disagree
Ohio	NA	23	1	0	5	1	Ind. Lean D	0	1	1	1	Agree	Disagree	Strongly Disagree	Strongly Disagree
Illinois	0	30	1	1	10	2	Not Strong D	0	3	3	3	Strongly Agree	Strongly Agree	NA/ND	Agree
Ohio	0	70	1	0	5	2	Not Strong D	0	4	1	5	Strongly Agree	Agree	Disagree	Disagree
Pennsylvania	NA	58	1	0	2	NA	Not Strong D	0	3	2	6	Strongly Agree	Strongly Agree	Agree	Agree
Pennsylvania	0	23	0	1	5	4	Strong D	0	3	3	1	Strongly Agree	Strongly Agree	Agree	Agree
Ohio	NA	29	1	1	7	3	NA	0	4	3	7	NA	NA	NA	NA
Wisconsin	1	56	0	0	7	3	Not Strong R	0	1	3	2	Agree	NA/ND	NA/ND	Agree
Minnesota	1	24	0	1	5	4	Ind. Lean R	1	3	3	2	Strongly Agree	Agree	Agree	NA/ND
Illinois	0	61	0	1	3	2	Not Strong D	0	1	1	1	Agree	Agree	Disagree	Disagree
Illinois	NA	23	1	1	4	2	Strong D	0	1	1	1	NA	NA	NA	NA
Pennsylvania	0	26	0	1	7	3	Not Strong D	0	1	1	1	NA/ND	Strongly Agree	Strongly Disagree	NA/ND
Pennsylvania	NA	21	1	0	1	NA	Indep.	0	1	1	1	NA	NA	NA	NA
Ohio	1	69	1	0	NA	4	Not Strong R	0	3	5	5	Agree	NA/ND	NA/ND	Agree
Pennsylvania	1	46	0	0	2	4	Ind. Lean R	1	4	2	6	Agree	Strongly Disagree	Strongly Disagree	Strongly Agree
Pennsylvania	NA	27	0	1	9	2	Not Strong D	0	1	1	1	NA	NA	NA	NA
Pennsylvania	NA	63	0	1	12	3	Indep.	0	2	3	6	Agree	NA/ND	Disagree	Agree
Michigan	NA	33	0	0	1	2	Indep.	1	3	3	7	NA	NA	NA	NA
Illinois	NA	33	0	1	9	4	Not Strong D	0	3	4	6	NA	NA	NA	NA
Iowa	0	65	1	1	7	2	Not Strong D	0	3	2	7	Strongly Agree	Strongly Agree	Disagree	Disagree
Michigan	1	58	0	1	6	3	Indep.	0	4	5	5	Agree	NA/ND	Disagree	Disagree
Illinois	0	29	0	1	9	3	NA	0	2	2	2	Agree	NA/ND	Disagree	NA/ND
Illinois	NA	28	1	0	1	NA	Indep.	1	3	5	5	Agree	Strongly Agree	Strongly Disagree	Agree
Ohio	0	69	1	1	4	3	Indep.	0	3	2	2	Agree	Agree	NA/ND	NA/ND
Iowa	1	75	1	1	11	4	Strong R	1	4	6	7	Agree	Disagree	Disagree	NA/ND
Illinois	NA	35	0	1	8	4	Not Strong D	0	2	4	4	NA	NA	NA	NA
Illinois	1	70	0	0	10	4	Strong R	0	2	1	2	Agree	Disagree	NA/ND	Disagree
Illinois	0	46	0	1	12	3	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	NA/ND	Strongly Disagree
Wisconsin	1	64	0	0	4	4	Not Strong R	0	2	2	3	Agree	Agree	Strongly Disagree	Agree
Iowa	NA	27	1	1	5	1	Strong D	0	1	1	2	Strongly Agree	Strongly Agree	NA/ND	Disagree
Pennsylvania	NA	50	1	0	3	5	Strong D	0	4	3	7	NA/ND	Strongly Disagree	Agree	Strongly Agree
Pennsylvania	0	58	1	0	2	4	Strong D	0	4	5	7	Strongly Agree	Strongly Disagree	Agree	Strongly Disagree
Ohio	0	57	0	0	6	3	Ind. Lean D	0	3	3	5	Agree	NA/ND	NA/ND	Disagree
Minnesota	NA	25	1	0	5	3	Strong R	1	4	5	7	NA	NA	NA	NA
Illinois	0	62	0	1	6	2	Strong D	0	2	3	5	Strongly Agree	NA/ND	NA/ND	Disagree
Pennsylvania	0	43	1	1	NA	2	Not Strong D	0	1	1	5	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Minnesota	1	27	1	0	9	4	Not Strong R	0	1	1	1	Strongly Agree	Disagree	Disagree	NA/ND
Iowa	0	37	0	1	12	4	Strong R	0	1	1	1	NA/ND	Strongly Disagree	Strongly Disagree	Strongly Agree
Indiana	1	33	1	0	7	3	Indep.	0	2	1	4	Strongly Agree	Agree	Disagree	Agree
Pennsylvania	0	22	1	0	1	5	Strong D	1	4	5	4	Agree	Strongly Agree	Agree	Agree
Michigan	1	41	1	0	4	5	Strong R	1	4	6	7	Disagree	Strongly Disagree	Strongly Agree	NA/ND
Pennsylvania	NA	26	1	0	3	1	Not Strong D	0	1	1	2	Strongly Agree	Agree	NA/ND	Disagree
Pennsylvania	NA	61	0	0	3	3	Indep.	0	1	2	2	NA/ND	Strongly Disagree	NA/ND	NA/ND
Michigan	NA	19	1	0	4	3	Ind. Lean D	0	1	1	1	NA	NA	NA	NA
Illinois	0	66	0	0	8	3	Strong D	0	3	5	5	Strongly Agree	Agree	NA/ND	Disagree
Illinois	NA	27	0	1	12	4	Strong R	1	3	4	3	NA	NA	NA	NA
Pennsylvania	1	33	1	1	12	2	Not Strong R	0	3	2	5	Strongly Agree	Disagree	Strongly Disagree	Disagree
Minnesota	NA	18	1	0	9	2	Not Strong D	0	1	1	1	NA	NA	NA	NA
Ohio	0	35	0	1	8	2	Strong D	1	3	5	6	Strongly Agree	Agree	NA/ND	Disagree
Pennsylvania	0	46	1	1	9	1	Ind. Lean D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	NA	35	0	1	12	3	Not Strong D	0	2	3	6	NA	NA	NA	NA
Pennsylvania	1	63	1	0	7	3	Not Strong R	0	3	5	6	Strongly Agree	Strongly Disagree	Agree	Disagree
Illinois	1	54	1	0	3	4	Strong R	1	4	6	7	Agree	Disagree	Disagree	Disagree
Wisconsin	0	27	1	1	2	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Indiana	1	35	1	1	4	5	Strong R	1	4	5	7	Agree	Agree	Disagree	Disagree
Wisconsin	0	23	1	1	5	2	Strong D	0	2	2	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	0	36	1	1	9	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Illinois	NA	42	1	0	12	3	Ind. Lean R	0	3	2	6	NA	NA	NA	NA
Illinois	NA	33	0	1	6	NA	Ind. Lean D	0	1	2	1	NA	NA	NA	NA
Wisconsin	0	36	0	1	11	2	Strong D	0	2	3	6	Strongly Agree	Agree	Disagree	Strongly Disagree
Illinois	0	60	0	0	6	3	Strong D	0	3	4	2	NA/ND	NA/ND	NA/ND	NA/ND
Pennsylvania	0	47	0	0	6	1	Strong D	0	4	1	7	Strongly Agree	Agree	Strongly Disagree	Disagree
Ohio	0	80	0	0	3	3	Not Strong D	1	4	6	7	Agree	Agree	NA/ND	Agree
Illinois	0	31	1	1	10	3	Not Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Disagree
Minnesota	1	59	0	0	4	3	Ind. Lean R	0	2	1	1	Strongly Disagree	Strongly Agree	Agree	Agree
Ohio	NA	27	1	0	1	5	Indep.	1	4	3	7	NA	NA	NA	NA
Illinois	0	29	1	1	3	1	Ind. Lean D	0	2	4	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Pennsylvania	NA	52	0	0	5	2	Strong R	1	3	2	6	NA	NA	NA	NA
Wisconsin	NA	43	1	0	6	3	Strong R	0	3	2	5	Strongly Agree	Strongly Disagree	NA/ND	Disagree
Pennsylvania	NA	35	0	1	8	2	Not Strong D	0	3	4	3	NA	NA	NA	NA
Ohio	NA	40	0	0	10	1	Strong D	0	1	1	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Ohio	0	45	1	0	4	4	Not Strong D	0	4	4	7	Disagree	Strongly Disagree	Disagree	Agree
Ohio	0	42	1	1	10	2	Not Strong D	0	3	1	6	Strongly Agree	Agree	Disagree	Disagree
Pennsylvania	NA	22	1	0	3	3	Not Strong R	0	3	4	5	NA/ND	NA/ND	Disagree	NA/ND
Indiana	1	35	1	1	12	4	Not Strong R	0	4	5	7	Strongly Agree	Disagree	Strongly Disagree	Disagree
Wisconsin	1	41	1	0	4	2	Strong R	0	1	1	1	Strongly Agree	Strongly Disagree	Strongly Disagree	Agree
Pennsylvania	NA	20	0	0	4	5	Strong R	0	4	5	2	NA	NA	NA	NA
Michigan	0	77	1	0	4	3	Strong D	0	3	3	6	Strongly Agree	Agree	Disagree	NA/ND
Michigan	0	36	1	0	5	2	Strong D	0	4	2	7	Strongly Agree	Strongly Agree	Agree	Disagree
Wisconsin	1	67	1	0	4	3	Ind. Lean R	0	1	1	2	Agree	Disagree	Disagree	NA/ND
Wisconsin	1	49	1	0	4	3	Not Strong R	0	3	3	3	Agree	Strongly Disagree	NA/ND	NA/ND
Wisconsin	NA	21	1	0	1	3	Ind. Lean R	1	3	2	2	NA	NA	NA	NA
Ohio	1	54	0	0	6	4	Ind. Lean R	1	2	1	5	Disagree	Disagree	Strongly Disagree	Agree
Minnesota	NA	44	0	0	3	3	Indep.	0	1	1	3	NA	NA	NA	NA
Michigan	1	30	1	0	8	4	Ind. Lean R	1	2	2	6	Strongly Disagree	Strongly Disagree	Disagree	Agree
Ohio	0	47	1	0	9	1	Ind. Lean D	0	1	1	2	Strongly Agree	Agree	Disagree	Disagree
Ohio	NA	45	1	0	3	NA	Indep.	1	3	6	7	NA/ND	Strongly Disagree	NA/ND	NA/ND
Wisconsin	1	79	1	0	NA	4	Strong R	1	4	5	7	Agree	Disagree	Disagree	Disagree
Illinois	NA	49	0	0	7	3	Ind. Lean R	0	3	3	5	Strongly Agree	Strongly Disagree	NA/ND	Disagree
Pennsylvania	0	23	0	1	7	2	Strong D	1	4	5	6	Strongly Agree	Agree	Disagree	Strongly Disagree
Pennsylvania	NA	26	1	0	4	5	Strong R	1	4	4	7	Strongly Agree	Strongly Disagree	Strongly Agree	Strongly Disagree
Illinois	1	46	0	1	5	4	Not Strong R	0	1	1	2	NA/ND	Disagree	Disagree	NA/ND
Ohio	1	72	0	0	4	4	Not Strong R	1	4	6	7	NA/ND	Strongly Disagree	Disagree	Agree
Ohio	1	21	0	0	NA	5	Strong R	1	4	6	7	Strongly Agree	Strongly Agree	Strongly Agree	NA/ND
Iowa	1	47	1	0	6	5	Strong R	0	2	2	5	Strongly Agree	NA/ND	NA/ND	NA/ND
Pennsylvania	NA	22	1	0	3	3	Indep.	0	1	1	1	Strongly Agree	Agree	Strongly Disagree	Disagree
Wisconsin	0	30	1	0	3	2	Strong D	0	1	1	1	Agree	Agree	Strongly Disagree	Agree
Illinois	1	35	1	1	11	3	NA	0	2	3	2	Strongly Agree	Strongly Agree	Strongly Disagree	Strongly Disagree
Minnesota	NA	41	0	1	10	2	Ind. Lean D	0	1	1	1	NA	NA	NA	NA
Pennsylvania	0	25	1	0	6	2	Not Strong R	0	2	1	4	Strongly Agree	Agree	Disagree	Disagree
Michigan	0	52	0	0	2	1	Strong D	0	1	1	1	Strongly Agree	Strongly Agree	Strongly Disagree	Disagree
Michigan	NA	18	0	0	8	5	Strong R	0	1	1	1	NA	NA	NA	NA
Pennsylvania	1	26	1	0	1	2	Ind. Lean D	0	2	1	1	Strongly Agree	NA/ND	Strongly Disagree	Disagree
Minnesota	0	67	1	0	4	2	Indep.	0	3	3	3	Strongly Agree	Agree	Disagree	Strongly Disagree
Michigan	NA	18	0	0	5	3	Not Strong D	0	1	1	1	NA	NA	NA	NA
Michigan	0	62	1	1	NA	3	Not Strong R	0	3	4	6	NA/ND	Agree	Agree	Disagree
Ohio	0	57	1	0	NA	NA	Strong D	0	4	4	7	Agree	Agree	NA/ND	Agree
Michigan	NA	29	0	0	2	NA	Indep.	0	4	2	1	NA	NA	NA	NA
Ohio	1	36	0	0	2	3	Ind. Lean R	1	4	3	7	Strongly Agree	Strongly Disagree	Strongly Disagree	Strongly Disagree
Pennsylvania	1	63	0	0	3	3	Not Strong D	0	2	2	2	NA/ND	Disagree	NA/ND	Agree
Iowa	0	24	1	0	5	3	Strong D	0	2	1	2	Strongly Agree	NA/ND	Disagree	Disagree
Michigan	NA	29	1	0	5	4	Strong R	0	4	5	5	NA	NA	NA	NA
Wisconsin	1	29	1	0	6	4	Ind. Lean R	0	1	1	1	NA/ND	Strongly Disagree	Strongly Agree	Strongly Agree
Iowa	1	30	1	0	3	5	Strong R	1	4	6	7	Strongly Agree	Disagree	Agree	Disagree
Wisconsin	NA	26	1	1	7	NA	NA	0	1	1	1	NA/ND	NA/ND	NA/ND	NA/ND
Pennsylvania	1	42	1	1	2	4	Ind. Lean R	1	4	5	7	Agree	NA/ND	Disagree	NA/ND
Pennsylvania	0	74	1	0	3	4	Not Strong D	0	3	5	3	Agree	Disagree	NA/ND	Disagree
